"Year","Actress","Movie"
"1970","Glenda Jackson","Women in Love"
"1971","Jane Fonda","Klute"
"1972","Liza Minnelli","Cabaret"
"1973","Glenda Jackson","A Touch of Class"
"1974","Ellen Burstyn","Alice Doesn't Live Here Anymore"
"1975","Louise Fletcher","One Flew over the Cuckoo's Nest"
"1976","Faye Dunaway","Network"
"1977","Dianne Keaton","Annie Hall"
"1978","Jane Fonda","Coming Home"
"1979","Sally Field","Norma Rae"
"1980","Sissy Spacek","Coal Miner's Daughter"
"1981","Kathryn Hepburn","On Golden Pond"
"1982","Maryl Streep","Sophie's Choice"
"1983","Shirley MacLaine","Terms of Endearment"
"1984","Sally Field","Places in the Heart"
"1985","Geraldine Page","A Trip to the Bountiful"
"1986","Marlee Matlin","Children of a Lesser God"
"1987","Cher","Moonstruck",
"1988","Jodie Foster","The Accused"
"1989","Jessica Tandy","Driving Miss Daisy"
"1990","Kathy Bates","Misery"
"1991","Jodie Foster","The Silence of the Lambs"
"1992","Emma Thompson","Howards End"
"1993","Holly Hunter","The Piano"
"1994","Jessica Lange","Blue Sky"
"1995","Susan Sarandon","Dead Man Walking"
"1996","Frances McDormand","Fargo"
"1997","Helen Hunt","As Good As It Gets"
"1998","Gwyneth Paltrow","Shakespeare in Love"
"1999","Hilary Swank","Boys Don't Cry"
"2000","Julia Roberts","Erin Brockovich"
"2001","Halle Berry","Monster's Ball"
"2002","Nicole Kidman","The Hours"
"2003","Charlize Theron","Monster"
"2004","Hilary Swank","Million Dollar Baby"
"2005","Reese Witherspoon","Walk the Line"
"2006","Helen Mirren","The Queen"
"2007","Marion Cotillard","La Vie en Rose"
"2008","Kate Winslet","The Reader"
"2009","Sandra Bullock","The Blind Side"
"2010","Natalie Portman","Black Swan"
"2011","Meryl Streep","The Iron Lady"
"2012","Jennifer Lawrence","Silver Linings Playbook"
"2013","Cate Blanchett","Blue Jasmine"
"2014","Julianne Moore","Still Alice"
"2015","Brie Larson","Room"
"2016","Emma Stone","La La Land"
